No,話者,発話,ペルソナ,score
235,A,はい。暖かくてとてもいいところですよ。海に温泉にドライブしましょう！,"私の出身は和歌山です。
私は、マイペースと人からよく言われます。
私は肉体労働者です。
私はアニメの聖地巡礼をよくします。
私はツーリングが好きです。
私はアニメが好きです。
私はバイクを持っています。
","{'私の出身は和歌山です。': [0, 0, 0], '私は、マイペースと人からよく言われます。': [0, 0, 0], '私は肉体労働者です。': [0, 0, 0], '私はアニメの聖地巡礼をよくします。': [0, 0, 0], '私はツーリングが好きです。': [0, 0, 0], '私はアニメが好きです。': [0, 0, 0], '私は雨の日がゆっくりすごせるので好きです。': [0, 0, 0]}"
235,B,ああでもダメっ、二人乗りなんかしたら私の体重であなたのバイクがヘタっちゃうから（泣）,"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。
私は歩くのが大変なほどの肥満体系です。
私はお取り寄せ番組をよく見ます。
私はあまり外出をしません私は体重がかなり重いです。
私の体重はかなり重いです。
","{'私は無神論者です。': [0, 0, 1], '私は女性です。': [0, 0, 1], '私は肥満体型です。': [2, 0, 1], '私はお取り寄せが好きです。': [0, 0, 0], '私は不規則な生活をしています。': [0, 0, 0], '私は歩くのが大変なほどの肥満体系です。': [1, 0, 1], '私はお取り寄せ番組をよく見ます。': [0, 0, 0], '私はあまり外出をしません私は体重がかなり重いです。': [1, 0, 1], '私は料理をたまにしかしません。': [0, 0, 0]}"
268,A,こんにちは。最近は尊敬する父に会えずストレスが溜まる毎日です。あなたは？,"私の家は、スーパーの近くにあります。
私はアパート暮らしです。
私は外資系企業に勤めています。
私にとって、おふくろの味はカツ丼です。
私は父を尊敬しています。
私は料理が好きです。
私は雨の日がゆっくりすごせるので好きです。
","{'私の家は、スーパーの近くにあります。': [0, 0, 0], '私はアパート暮らしです。': [0, 0, 0], '私は外資系企業に勤めています。': [0, 0, 0], '私にとって、おふくろの味はカツ丼です。': [0, 0, 0], '私は父を尊敬しています。': [2, 2, 2], '私は料理が好きです。': [0, 0, 0], '私は雨の日がゆっくりすごせるので好きです。': [0, 0, 0]}"
268,B,ブライダル関係の仕事をしているのですが、なかなかお客様と会えず、ストレスが溜まりますね。もともと人と話すのが好きなので。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は猫を飼っています。
私は猫でストレス解消をします。
私は母の料理が好きです。
私は料理をたまにしかしません。
","{'私はブライダル関係の会社に勤務しています。': [2, 2, 2], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [0, 0, 0], '私は人と話すのが好きです。': [2, 2, 2], '私は雨の日が好きです。': [0, 0, 0], '私は猫を飼っています。': [0, 0, 0], '私は猫でストレス解消をします。': [0, 0, 0], '私は母の料理が好きです。': [0, 0, 0], '私は料理をたまにしかしません。': [0, 0, 0]}"
268,A,夢のある仕事をされているんですね。ストレス解消は何かされてますか？,"私の家は、スーパーの近くにあります。
私はアパート暮らしです。
私は外資系企業に勤めています。
私にとって、おふくろの味はカツ丼です。
私は父を尊敬しています。
私は料理が好きです。
私は雨の日がゆっくりすごせるので好きです。
","{'私の家は、スーパーの近くにあります。': [0, 0, 0], '私はアパート暮らしです。': [0, 0, 0], '私は外資系企業に勤めています。': [0, 0, 0], '私にとって、おふくろの味はカツ丼です。': [0, 0, 0], '私は父を尊敬しています。': [0, 0, 0], '私は料理が好きです。': [0, 0, 0], '私は雨の日がゆっくりすごせるので好きです。': [0, 0, 0]}"
268,B,ペットの猫ですね。以前はハムスターも飼っていました。あなたはどうしているのですか。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は猫を飼っています。
私は猫でストレス解消をします。
私は母の料理が好きです。
私は料理をたまにしかしません。
","{'私はブライダル関係の会社に勤務しています。': [0, 0, 0], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [2, 2, 2], '私は人と話すのが好きです。': [0, 0, 0], '私は雨の日が好きです。': [0, 0, 0], '私は猫を飼っています。': [1, 2, 2], '私は猫でストレス解消をします。': [0, 0, 0], '私は母の料理が好きです。': [0, 0, 0], '私は料理をたまにしかしません。': [0, 0, 0]}"
268,A,猫可愛いですよね。私は料理がストレス解消になっています。近くにスーパーがあり毎日行っています。今は母にも会えないので母の得意料理のカツ丼を再現したいのですがなかなか似た味になりません。,"私の家は、スーパーの近くにあります。
私はアパート暮らしです。
私は外資系企業に勤めています。
私にとって、おふくろの味はカツ丼です。
私は父を尊敬しています。
私は料理が好きです。
私は雨の日がゆっくりすごせるので好きです。
","{'私の家は、スーパーの近くにあります。': [2, 2, 2], '私はアパート暮らしです。': [0, 0, 0], '私は外資系企業に勤めています。': [0, 0, 0], '私にとって、おふくろの味はカツ丼です。': [2, 1, 1], '私は父を尊敬しています。': [0, 0, 0], '私は料理が好きです。': [2, 1, 2], '私は雨の日がゆっくりすごせるので好きです。': [0, 0, 0]}"
268,B,わかります。私も母にレシピを聞いたりしましたが、うまくいきませんでした。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は猫を飼っています。
私は猫でストレス解消をします。
私は母の料理が好きです。
私は料理をたまにしかしません。
","{'私はブライダル関係の会社に勤務しています。': [0, 0, 0], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [0, 0, 0], '私は人と話すのが好きです。': [0, 0, 0], '私は雨の日が好きです。': [0, 0, 0], '私は猫を飼っています。': [0, 0, 0], '私は猫でストレス解消をします。': [0, 0, 0], '私は母の料理が好きです。': [1, 1, 0], '私は料理をたまにしかしません。': [0, 1, 1]}"
268,A,分量とかわからないですよね。料理はよくしますか？,"私の家は、スーパーの近くにあります。
私はアパート暮らしです。
私は外資系企業に勤めています。
私にとって、おふくろの味はカツ丼です。
私は父を尊敬しています。
私は料理が好きです。
私は雨の日がゆっくりすごせるので好きです。
","{'私の家は、スーパーの近くにあります。': [0, 0, 0], '私はアパート暮らしです。': [0, 0, 0], '私は外資系企業に勤めています。': [0, 0, 0], '私にとって、おふくろの味はカツ丼です。': [0, 0, 0], '私は父を尊敬しています。': [0, 0, 0], '私は料理が好きです。': [0, 0, 0], '私は雨の日がゆっくりすごせるので好きです。': [0, 0, 0]}"
268,B,たまにですね。雨の日に外に出られない時とかにします。雨の日は家でゆっくりできるので好きです。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は猫を飼っています。
私は猫でストレス解消をします。
私は母の料理が好きです。
私は料理をたまにしかしません。
","{'私はブライダル関係の会社に勤務しています。': [0, 0, 0], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [0, 0, 0], '私は人と話すのが好きです。': [0, 0, 0], '私は雨の日が好きです。': [2, 2, 0], '私は猫を飼っています。': [0, 0, 0], '私は猫でストレス解消をします。': [0, 0, 0], '私は母の料理が好きです。': [0, 0, 0], '私は料理をたまにしかしません。': [0, 0, 0]}"
268,A,私も雨の日はゆっくり過ごせるので好きです。,"私の家は、スーパーの近くにあります。
私はアパート暮らしです。
私は外資系企業に勤めています。
私にとって、おふくろの味はカツ丼です。
私は父を尊敬しています。
私は料理が好きです。
私は雨の日がゆっくりすごせるので好きです。
","{'私の家は、スーパーの近くにあります。': [0, 0, 0], '私はアパート暮らしです。': [0, 0, 0], '私は外資系企業に勤めています。': [0, 0, 0], '私にとって、おふくろの味はカツ丼です。': [0, 0, 0], '私は父を尊敬しています。': [0, 0, 0], '私は料理が好きです。': [0, 0, 0], '私は雨の日がゆっくりすごせるので好きです。': [2, 2, 2]}"
268,B,いいですよね。しっとりとしたクラシックなんかも聞いたりします。他にはどんなことをされるのですか。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は猫を飼っています。
私は猫でストレス解消をします。
私は母の料理が好きです。
私は料理をたまにしかしません。
","{'私はブライダル関係の会社に勤務しています。': [0, 0, 0], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [0, 0, 0], '私は人と話すのが好きです。': [0, 0, 0], '私は雨の日が好きです。': [0, 0, 0], '私は猫を飼っています。': [0, 0, 0], '私は猫でストレス解消をします。': [0, 0, 0], '私は母の料理が好きです。': [0, 0, 0], '私は料理をたまにしかしません。': [0, 0, 0]}"
268,A,読書ですね。今はあまり外に出ず風邪をひきたくないので。あなたも風邪にはお気をつけください。,"私の家は、スーパーの近くにあります。
私はアパート暮らしです。
私は外資系企業に勤めています。
私にとって、おふくろの味はカツ丼です。
私は父を尊敬しています。
私は料理が好きです。
私は雨の日がゆっくりすごせるので好きです。
","{'私の家は、スーパーの近くにあります。': [0, 0, 0], '私はアパート暮らしです。': [0, 0, 0], '私は外資系企業に勤めています。': [0, 0, 0], '私にとって、おふくろの味はカツ丼です。': [0, 0, 0], '私は父を尊敬しています。': [0, 0, 0], '私は料理が好きです。': [0, 0, 0], '私はおしゃれには無頓着です。': [0, 0, 0]}"
268,B,ありがとうございます。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は猫を飼っています。
私は猫でストレス解消をします。
私は母の料理が好きです。
私は料理をたまにしかしません。
","{'私はブライダル関係の会社に勤務しています。': [0, 0, 0], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [0, 0, 0], '私は人と話すのが好きです。': [0, 0, 0], '私は雨の日が好きです。': [0, 0, 0], '私は猫を飼っています。': [0, 0, 0], '私は猫でストレス解消をします。': [0, 0, 0], '私は母の料理が好きです。': [0, 0, 0], '私は時々は一人になりたいと思っています。': [0, 0, 0]}"
311,A,こんにちは、岩手県出身の者です,"私は岩手県で生まれました。
私が好きな作家は、宮沢賢治です。
私はネイリストになりたいです。
私はエステティシャンです。
私は熱帯魚を飼っています。
","{'私は岩手県で生まれました。': [2, 2, 2], '私が好きな作家は、宮沢賢治です。': [1, 0, 0], '私はネイリストになりたいです。': [0, 0, 0], '私はエステティシャンです。': [0, 0, 0], '私は熱帯魚を飼っています。': [0, 0, 0]}"
311,B,こんにちは。私は茨城出身なんです。,"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。
私は茨城出身なんです私は海に良く行きます。
私はおしゃれには無頓着です。
","{'私は茨城で生まれました。': [2, 2, 1], '私はパートタイマーです。': [0, 0, 0], '私はスーパーで働いています。': [0, 0, 0], '私は貯金が趣味です。': [0, 0, 0], '私は勉強が不得意です。': [0, 0, 0], '私は茨城出身なんです私は海に良く行きます。': [2, 1, 1], '私はおしゃれには無頓着です。': [0, 0, 0]}"
311,A,茨城ですか。一度だけ海に行ったことがあります。,"私は岩手県で生まれました。
私が好きな作家は、宮沢賢治です。
私はネイリストになりたいです。
私はエステティシャンです。
私は熱帯魚を飼っています。
","{'私は岩手県で生まれました。': [0, 0, 0], '私が好きな作家は、宮沢賢治です。': [0, 0, 0], '私はネイリストになりたいです。': [0, 0, 0], '私はエステティシャンです。': [0, 0, 0], '私は熱帯魚を飼っています。': [1, 0, 0]}"
311,B,そうなんですね。海、私も良く行きますよ。,"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。
私は茨城出身なんです私は海に良く行きます。
私はおしゃれには無頓着です。
","{'私は茨城で生まれました。': [0, 0, 0], '私はパートタイマーです。': [0, 0, 0], '私はスーパーで働いています。': [0, 0, 0], '私は貯金が趣味です。': [0, 0, 0], '私は勉強が不得意です。': [0, 0, 0], '私は茨城出身なんです私は海に良く行きます。': [2, 1, 1], '私はおしゃれには無頓着です。': [0, 0, 0]}"
311,A,そうでしたか。近くの水族館で買った熱帯魚は今でも大切に飼っています,"私は岩手県で生まれました。
私が好きな作家は、宮沢賢治です。
私はネイリストになりたいです。
私はエステティシャンです。
私は熱帯魚を飼っています。
","{'私は岩手県で生まれました。': [0, 0, 0], '私が好きな作家は、宮沢賢治です。': [0, 0, 0], '私はネイリストになりたいです。': [0, 0, 0], '私はエステティシャンです。': [0, 0, 0], '私は熱帯魚を飼っています。': [2, 2, 2]}"
311,B,そうなんですね。熱帯魚を飼うのは、難しくないですか？,"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。
私は茨城出身なんです私は海に良く行きます。
私はおしゃれには無頓着です。
","{'私は茨城で生まれました。': [0, 0, 0], '私はパートタイマーです。': [0, 0, 0], '私はスーパーで働いています。': [0, 0, 0], '私は貯金が趣味です。': [0, 0, 0], '私は勉強が不得意です。': [0, 0, 0], '私は茨城出身なんです私は海に良く行きます。': [0, 0, 0], '私はおしゃれには無頓着です。': [0, 0, 0]}"
311,A,温度管理は大変ですが、慣れてくればそんなこともないですね,"私は岩手県で生まれました。
私が好きな作家は、宮沢賢治です。
私はネイリストになりたいです。
私はエステティシャンです。
私は熱帯魚を飼っています。
","{'私は岩手県で生まれました。': [0, 0, 0], '私が好きな作家は、宮沢賢治です。': [0, 0, 0], '私はネイリストになりたいです。': [0, 0, 0], '私はエステティシャンです。': [0, 0, 0], '私は熱帯魚を飼っています。': [1, 0, 1]}"
311,B,そうなんですね。ちなみに私は貯金が趣味で、スーパーでパートしてるんですが、お仕事はされていますか？,"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。
私は茨城出身なんです私は海に良く行きます。
私はおしゃれには無頓着です。
","{'私は茨城で生まれました。': [0, 0, 0], '私はパートタイマーです。': [2, 2, 2], '私はスーパーで働いています。': [2, 2, 2], '私は貯金が趣味です。': [2, 2, 2], '私は勉強が不得意です。': [0, 0, 0], '私は茨城出身なんです私は海に良く行きます。': [0, 0, 0], '私はおしゃれには無頓着です。': [0, 0, 0]}"
311,A,貯金が趣味なんてすばらしいですね。私はエステティシャンをしているのですが、ネイリストになりたいと方針転換中です,"私は岩手県で生まれました。
私が好きな作家は、宮沢賢治です。
私はネイリストになりたいです。
私はエステティシャンです。
私は熱帯魚を飼っています。
","{'私は岩手県で生まれました。': [0, 0, 0], '私が好きな作家は、宮沢賢治です。': [0, 0, 0], '私はネイリストになりたいです。': [1, 2, 2], '私はエステティシャンです。': [2, 2, 2], '私は熱帯魚を飼っています。': [0, 0, 0]}"
311,B,とてもおしゃれなんでしょうね。私はおしゃれには本当に無頓着で。,"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。
私は茨城出身なんです私は海に良く行きます。
私はおしゃれには無頓着です。
","{'私は茨城で生まれました。': [0, 0, 0], '私はパートタイマーです。': [0, 0, 0], '私はスーパーで働いています。': [0, 0, 0], '私は貯金が趣味です。': [0, 0, 0], '私は勉強が不得意です。': [0, 0, 0], '私は茨城出身なんです私は海に良く行きます。': [0, 0, 0], '私はおしゃれには無頓着です。': [2, 2, 2]}"
311,A,そうなんですか。人それぞれ得意不得意はありますね,"私は岩手県で生まれました。
私が好きな作家は、宮沢賢治です。
私はネイリストになりたいです。
私はエステティシャンです。
私は熱帯魚を飼っています。
","{'私は岩手県で生まれました。': [0, 0, 0], '私が好きな作家は、宮沢賢治です。': [0, 0, 0], '私はネイリストになりたいです。': [0, 0, 0], '私はエステティシャンです。': [1, 0, 0], '私は釣りが趣味です。': [0, 0, 0]}"
311,B,そうですね。今度、ぜひきれいにしてもらいたいです。,"私は茨城で生まれました。
私はパートタイマーです。
私はスーパーで働いています。
私は貯金が趣味です。
私は勉強が不得意です。
私は茨城出身なんです私は海に良く行きます。
私はおしゃれには無頓着です。
","{'私は茨城で生まれました。': [0, 0, 0], '私はパートタイマーです。': [0, 0, 0], '私はスーパーで働いています。': [0, 0, 0], '私は貯金が趣味です。': [0, 0, 0], '私は勉強が不得意です。': [0, 0, 0], '私は茨城出身なんです私は海に良く行きます。': [0, 0, 0], '私は猫を飼いたいと今思っています。': [0, 0, 0]}"
367,A,はじめまして。私は広島在住ですが、あなたはどちらにお住まいですか？,"私は広島在住です。
私は保険外交員です。
私は、唇がセクシーだと人からよく言われます。
私は料理が苦手です。
私のソウルフードは、お好み焼きです。
私はお好み焼きをよく食べに行きます。
私は猫を飼いたいと今思っています。
","{'私は広島在住です。': [2, 2, 2], '私は保険外交員です。': [0, 0, 0], '私は、唇がセクシーだと人からよく言われます。': [0, 0, 0], '私は料理が苦手です。': [0, 0, 0], '私のソウルフードは、お好み焼きです。': [0, 0, 0], '私はお好み焼きをよく食べに行きます。': [0, 0, 0], '私は猫を飼いたいと今思っています。': [0, 0, 0]}"
367,B,私は京都です。ブライダル関係の仕事をしています。普段はなにをされているんですか。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は京都在住です。
私は料理が苦手です。
私のトレードマークはえくぼです。
","{'私はブライダル関係の会社に勤務しています。': [2, 2, 2], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [0, 0, 0], '私は人と話すのが好きです。': [0, 0, 1], '私は雨の日が好きです。': [0, 0, 0], '私は京都在住です。': [2, 1, 2], '私は料理が苦手です。': [0, 0, 0], '私のトレードマークはえくぼです。': [0, 0, 0]}"
367,A,私は保険外交員です。あなたは料理とか出来ますか？私は料理が苦手で、出来れば教えてほしいです。,"私は広島在住です。
私は保険外交員です。
私は、唇がセクシーだと人からよく言われます。
私は料理が苦手です。
私のソウルフードは、お好み焼きです。
私はお好み焼きをよく食べに行きます。
私は猫を飼いたいと今思っています。
","{'私は広島在住です。': [0, 0, 0], '私は保険外交員です。': [2, 2, 2], '私は、唇がセクシーだと人からよく言われます。': [0, 0, 0], '私は料理が苦手です。': [2, 2, 2], '私のソウルフードは、お好み焼きです。': [0, 0, 1], '私はお好み焼きをよく食べに行きます。': [0, 0, 1], '私は猫を飼いたいと今思っています。': [0, 0, 0]}"
367,B,私も苦手です。お力になれなくてすみません。外食で済まされているんですか。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は京都在住です。
私は料理が苦手です。
私のトレードマークはえくぼです。
","{'私はブライダル関係の会社に勤務しています。': [0, 0, 0], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [0, 0, 0], '私は人と話すのが好きです。': [0, 0, 0], '私は雨の日が好きです。': [0, 0, 0], '私は京都在住です。': [0, 0, 0], '私は料理が苦手です。': [1, 1, 1], '私のトレードマークはえくぼです。': [0, 0, 0]}"
367,A,はい。私はお好み焼きがソフルフードで、よく食べに行きます。普段休みの日は、何をしていますか？,"私は広島在住です。
私は保険外交員です。
私は、唇がセクシーだと人からよく言われます。
私は料理が苦手です。
私のソウルフードは、お好み焼きです。
私はお好み焼きをよく食べに行きます。
私は猫を飼いたいと今思っています。
","{'私は広島在住です。': [0, 0, 0], '私は保険外交員です。': [0, 0, 0], '私は、唇がセクシーだと人からよく言われます。': [0, 0, 0], '私は料理が苦手です。': [0, 0, 0], '私のソウルフードは、お好み焼きです。': [2, 2, 2], '私はお好み焼きをよく食べに行きます。': [2, 2, 1], '私は猫を飼いたいと今思っています。': [0, 0, 0]}"
367,B,友人と会うことが多いですね。人と話すのが好きなんです。最近は会う機会も少ないので、ペットの犬の世話をしています。前はハムスターを飼っていたこともあります。,"私はブライダル関係の会社に勤務しています。
私はえくぼがトレードマークです。
私はハムスターを飼っていました。
私は人と話すのが好きです。
私は雨の日が好きです。
私は京都在住です。
私は料理が苦手です。
私のトレードマークはえくぼです。
","{'私はブライダル関係の会社に勤務しています。': [0, 0, 0], '私はえくぼがトレードマークです。': [0, 0, 0], '私はハムスターを飼っていました。': [2, 2, 2], '私は人と話すのが好きです。': [2, 2, 2], '私は雨の日が好きです。': [0, 0, 0], '私は京都在住です。': [0, 0, 0], '私は料理が苦手です。': [0, 0, 0], '私のトレードマークはえくぼです。': [0, 0, 0]}"
